produto_id,qtd_notificacoes
"1842","3"
"1743","3"
"694","3"
"457","3"
"1228","3"
"1641","2"
"1105","2"
"1171","2"
"493","2"
"838","2"
"358","2"
"682","2"
"446","2"
"1236","2"
"1248","2"
"418","2"
"1023","2"
"689","2"
"1868","2"
"1964","2"
"707","2"
"1454","2"
"1043","2"
"1397","2"
"1204","2"
"1845","2"
"166","2"
"587","2"
"321","2"
"534","2"
"1957","2"
"1163","2"
"1755","2"
"886","2"
"203","2"
"782","2"
"1558","2"
"1041","2"
"1207","2"
"966","2"
"234","2"
"530","2"
"961","2"
"1536","2"
"272","2"
"1694","2"
"1296","2"
"649","2"
"822","2"
"1710","2"
"1590","2"
"1119","2"
"108","2"
"399","2"
"591","2"
"1348","1"
"1426","1"
"876","1"
"919","1"
"386","1"
"240","1"
"1057","1"
"189","1"
"1698","1"
"1594","1"
"941","1"
"819","1"
"1977","1"
"505","1"
"103","1"
"236","1"
"390","1"
"437","1"
"539","1"
"1525","1"
"282","1"
"1036","1"
"1608","1"
"227","1"
"1331","1"
"837","1"
"273","1"
"1591","1"
"1550","1"
"1825","1"
"1829","1"
"1165","1"
"266","1"
"5","1"
"454","1"
"1702","1"
"315","1"
"1772","1"
"366","1"
"599","1"
"1464","1"
"1954","1"
"1463","1"
"1021","1"
"1571","1"
