id,nome,quantidade
"1755","Crocante Feijão","0"
"1589","Premium Arroz","0"
"1406","Crocante Frango","0"
"1857","Orgânico Frango","0"
"618","Crocante Detergente","0"
"894","Doce Queijo","0"
"1612","Natural Manteiga","1"
"179","Integral Detergente","1"
"1395","Delicioso Frango","1"
"1815","Integral Manteiga","1"
"452","Suave Iogurte","1"
"1116","Crocante Suco","2"
"504","Premium Frango","2"
"810","Tradicional Manteiga","2"
"967","Tradicional Carne","2"
"973","Doce Arroz","2"
"1592","Delicioso Biscoito","2"
"1649","Natural Leite","2"
"1715","Crocante Manteiga","2"
"919","Crocante Peixe","3"
"392","Suave Arroz","3"
"1855","Crocante Feijão","3"
"266","Delicioso Leite","3"
"990","Tradicional Manteiga","4"
"1860","Orgânico Suco","4"
"393","Delicioso Feijão","4"
"1762","Tradicional Sabonete","4"
