id,nome,valor_total
"1039","Natural Sabonete","237148.17"
"1530","Suave Arroz","236420.00"
"887","Delicioso Feijão","235620.10"
"126","Integral Manteiga","235080.30"
"353","Premium Iogurte","234912.02"
"1034","Suave Biscoito","233638.25"
"1668","Natural Peixe","233437.04"
"31","Doce Carne","232465.00"
"436","Doce Carne","231284.24"
"49","Orgânico Carne","229026.77"
"242","Suave Sabonete","225879.05"
"261","Natural Detergente","225530.76"
"1420","Ácido Arroz","223749.22"
"373","Tradicional Iogurte","223431.38"
"958","Orgânico Feijão","222362.00"
"1025","Natural Suco","221971.26"
"766","Delicioso Frango","221415.37"
"1548","Doce Pão","219240.90"
"1101","Ácido Pão","218673.92"
"1363","Doce Suco","218597.10"
"1520","Doce Feijão","218126.85"
"629","Orgânico Arroz","217460.88"
"878","Doce Detergente","217161.63"
"731","Integral Feijão","217056.00"
"572","Fresco Feijão","216607.05"
"1808","Integral Arroz","216456.89"
"986","Crocante Queijo","216204.30"
"1103","Suave Pão","213494.67"
"1619","Doce Manteiga","213461.16"
"954","Delicioso Iogurte","209912.85"
"848","Fresco Sabonete","209692.86"
"565","Natural Iogurte","208287.31"
"598","Suave Sabonete","208080.51"
"1540","Orgânico Biscoito","207697.50"
"1614","Doce Pão","206543.68"
"1140","Suave Leite","205028.10"
"1273","Delicioso Feijão","204740.25"
"1659","Integral Leite","203823.36"
"1202","Suave Iogurte","203720.44"
"1498","Suave Pão","203006.45"
"1473","Crocante Pão","202986.00"
"1929","Delicioso Sabonete","201232.98"
"1329","Premium Carne","201169.40"
"1450","Delicioso Iogurte","200014.23"
"1937","Ácido Arroz","199939.41"
"1099","Delicioso Pão","198607.68"
"248","Delicioso Carne","198459.18"
"596","Orgânico Manteiga","197777.58"
"1496","Tradicional Peixe","196901.88"
"516","Tradicional Leite","196647.88"
"1734","Tradicional Detergente","196519.50"
"1476","Orgânico Biscoito","196380.32"
"1970","Integral Queijo","195882.84"
"1508","Natural Detergente","195857.85"
"765","Crocante Carne","195116.46"
"1511","Ácido Queijo","193713.66"
"1825","Premium Queijo","192869.16"
"1499","Premium Carne","192352.65"
"1599","Premium Suco","192258.56"
"1165","Fresco Suco","191390.08"
"1236","Suave Peixe","190702.92"
"497","Tradicional Iogurte","190159.96"
"787","Delicioso Pão","189808.36"
"170","Ácido Peixe","189433.20"
"1186","Doce Peixe","189088.00"
"1720","Doce Pão","189047.43"
"1246","Suave Leite","188672.50"
"1983","Delicioso Manteiga","188436.00"
"827","Integral Pão","187872.15"
"1036","Orgânico Queijo","187294.80"
"852","Crocante Pão","186831.36"
"737","Ácido Iogurte","186604.62"
"609","Fresco Biscoito","186381.88"
"982","Suave Carne","186365.34"
"775","Doce Pão","185886.00"
"1048","Premium Suco","185722.68"
"1453","Integral Leite","185214.88"
"1155","Premium Carne","185158.56"
"1632","Doce Frango","184892.68"
"779","Doce Pão","184356.21"
"1503","Fresco Leite","183760.68"
"1259","Premium Arroz","182371.36"
"1623","Tradicional Frango","181383.52"
"92","Doce Pão","181161.21"
"590","Integral Peixe","180918.08"
"1727","Premium Manteiga","180568.32"
"1347","Natural Queijo","179960.40"
"1148","Suave Queijo","179492.00"
"1109","Doce Arroz","178719.48"
"1533","Orgânico Carne","178582.12"
"1930","Fresco Carne","178101.70"
"1081","Fresco Arroz","178062.39"
"1270","Orgânico Peixe","177967.60"
"1446","Integral Frango","177618.84"
"1452","Integral Arroz","177070.11"
"846","Crocante Feijão","176602.59"
"757","Crocante Peixe","176163.52"
"698","Crocante Iogurte","176049.65"
"379","Doce Feijão","175923.28"
"1626","Orgânico Suco","175059.48"
