id,nome,data_validade,quantidade
"621","Tradicional Pão","2026-05-05","160"
"1800","Integral Peixe","2026-05-05","491"
"799","Doce Biscoito","2026-05-05","454"
"208","Premium Leite","2026-05-06","471"
"1684","Ácido Peixe","2026-05-06","261"
"469","Fresco Feijão","2026-05-06","457"
"1640","Natural Pão","2026-05-06","353"
"1948","Delicioso Sabonete","2026-05-06","255"
"945","Doce Feijão","2026-05-06","258"
"180","Delicioso Leite","2026-05-06","235"
"353","Premium Iogurte","2026-05-07","497"
"873","Tradicional Feijão","2026-05-07","157"
"876","Crocante Arroz","2026-05-07","210"
"817","Doce Iogurte","2026-05-07","437"
"160","Doce Carne","2026-05-07","316"
"569","Ácido Carne","2026-05-07","386"
"709","Premium Peixe","2026-05-08","142"
"1198","Integral Manteiga","2026-05-08","77"
"1451","Tradicional Arroz","2026-05-08","179"
"255","Orgânico Suco","2026-05-08","269"
"907","Crocante Peixe","2026-05-08","115"
"1586","Delicioso Manteiga","2026-05-08","88"
"768","Fresco Pão","2026-05-08","90"
"1845","Premium Arroz","2026-05-08","16"
"1548","Doce Pão","2026-05-09","470"
"593","Delicioso Carne","2026-05-09","9"
"1098","Natural Manteiga","2026-05-09","171"
"1635","Delicioso Frango","2026-05-09","183"
"979","Fresco Biscoito","2026-05-09","208"
"1047","Integral Iogurte","2026-05-10","403"
"430","Orgânico Carne","2026-05-10","402"
"591","Tradicional Iogurte","2026-05-10","404"
"170","Ácido Peixe","2026-05-11","452"
"196","Crocante Feijão","2026-05-11","16"
"162","Tradicional Arroz","2026-05-11","339"
"482","Orgânico Queijo","2026-05-11","254"
"1673","Natural Frango","2026-05-11","208"
"687","Delicioso Feijão","2026-05-11","175"
"1434","Crocante Suco","2026-05-11","246"
"188","Fresco Leite","2026-05-11","408"
"1578","Ácido Frango","2026-05-12","165"
"338","Ácido Leite","2026-05-12","131"
"595","Suave Peixe","2026-05-12","446"
"1055","Crocante Suco","2026-05-12","442"
"90","Crocante Carne","2026-05-12","362"
"1894","Doce Leite","2026-05-13","342"
"1116","Crocante Suco","2026-05-13","2"
"253","Integral Carne","2026-05-13","334"
"332","Doce Frango","2026-05-13","320"
"1443","Doce Suco","2026-05-13","436"
"1746","Suave Suco","2026-05-13","366"
"1971","Ácido Leite","2026-05-14","165"
"755","Integral Manteiga","2026-05-14","342"
"1456","Doce Leite","2026-05-14","306"
"1539","Natural Leite","2026-05-14","428"
"1386","Fresco Iogurte","2026-05-14","154"
"1792","Integral Queijo","2026-05-14","190"
"1400","Natural Arroz","2026-05-14","409"
"1113","Ácido Manteiga","2026-05-15","37"
"695","Delicioso Queijo","2026-05-15","471"
"1817","Orgânico Carne","2026-05-15","400"
"500","Doce Frango","2026-05-15","256"
"1651","Premium Iogurte","2026-05-16","241"
"668","Natural Feijão","2026-05-16","430"
