usuario_id,qtd_produtos
"7","29"
"21","28"
"12","28"
"19","28"
"11","28"
"89","27"
"71","27"
"100","27"
"86","26"
"74","26"
"38","26"
"36","26"
"46","26"
"76","26"
"37","26"
"28","25"
"2","25"
"82","25"
"48","25"
"70","25"
"78","25"
"40","25"
"94","24"
"24","24"
"84","24"
"1","23"
"47","23"
"30","23"
"34","23"
"69","23"
"23","23"
"35","22"
"83","22"
"27","22"
"80","22"
"4","22"
"8","22"
"72","21"
"55","21"
"93","21"
"95","21"
"51","21"
"99","21"
"45","20"
"79","20"
"60","20"
"73","20"
"32","20"
"90","20"
"62","20"
"98","19"
"14","19"
"66","19"
"16","19"
"75","19"
"44","19"
"15","19"
"26","19"
"85","19"
"61","19"
"25","18"
"17","18"
"54","18"
"97","18"
"31","18"
"5","18"
"39","18"
"6","18"
"67","18"
"52","18"
"81","18"
"64","18"
"20","18"
"42","17"
"22","17"
"59","17"
"41","17"
"57","17"
"9","17"
"50","16"
"77","16"
"91","16"
"10","16"
"63","16"
"13","15"
"53","15"
"92","15"
"29","15"
"3","14"
"68","13"
"96","13"
"87","13"
"88","13"
"58","13"
"65","12"
"56","12"
"43","12"
"49","11"
"18","11"
"33","10"
